Campaign,Hour of the day,Clicks
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,11,204
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,11,27
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,11,86
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,11,67
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,11,108
Course - System Thinking - Run 17 - Search - Prospecting - USA,11,349
Course - System Thinking - Run 17 - Search - Prospecting - A,11,317
Course - System Thinking - Run 17 - Search - Prospecting - B,11,545
Lifetime Campaign - Leadership Principles  - US (Run 3),12,304
Lifetime Campaign - Leadership Principles  - A (Run 3),12,165
Lifetime Campaign - Leadership Principles  - B (Run 3),12,635
Lifetime Campaign - Leadership Principles  - C (Run 3),12,266
Lifetime Campaign - Organizational Strategy  - US (Run 1),12,223
Lifetime Campaign - Organizational Strategy  - A (Run 1),12,64
Lifetime Campaign - Organizational Strategy  - C (Run 1),12,77
Lifetime Campaign - Organizational Strategy  - B (Run 1),12,226
Course - System Thinking - Run 12 - Search - Lead Gen - US,12,"2,944"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,12,"1,985"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,12,"2,419"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,12,323
Lifetime Campaign - Technical Innovation  - B (Run 1),12,56
Lifetime Campaign - Technical Innovation  - US (Run 1),12,109
Lifetime Campaign - Technical Innovation  - A (Run 1),12,36
Lifetime Campaign - Technical Innovation  - C (Run 1),12,49
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,12,773
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,12,567
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,12,831
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,12,335
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,12,209
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,12,33
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,12,68
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,12,75
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,12,120
Course - System Thinking - Run 17 - Search - Prospecting - USA,12,374
Course - System Thinking - Run 17 - Search - Prospecting - A,12,298
Course - System Thinking - Run 17 - Search - Prospecting - B,12,583
Lifetime Campaign - Leadership Principles  - US (Run 3),13,261
Lifetime Campaign - Leadership Principles  - A (Run 3),13,167
Lifetime Campaign - Leadership Principles  - B (Run 3),13,537
Lifetime Campaign - Leadership Principles  - C (Run 3),13,190
Lifetime Campaign - Organizational Strategy  - US (Run 1),13,211
Lifetime Campaign - Organizational Strategy  - A (Run 1),13,72
Lifetime Campaign - Organizational Strategy  - C (Run 1),13,113
Lifetime Campaign - Organizational Strategy  - B (Run 1),13,220
Course - System Thinking - Run 12 - Search - Lead Gen - US,13,"2,981"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,13,"1,859"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,13,"2,452"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,13,316
Lifetime Campaign - Technical Innovation  - B (Run 1),13,72
Lifetime Campaign - Technical Innovation  - US (Run 1),13,91
Lifetime Campaign - Technical Innovation  - A (Run 1),13,53
Lifetime Campaign - Technical Innovation  - C (Run 1),13,50
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,13,730
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,13,578
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,13,835
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,13,309
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,13,175
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,13,31
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,13,61
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,13,47
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,13,105
Course - System Thinking - Run 17 - Search - Prospecting - USA,13,337
Course - System Thinking - Run 17 - Search - Prospecting - A,13,341
Course - System Thinking - Run 17 - Search - Prospecting - B,13,516
Lifetime Campaign - Leadership Principles  - US (Run 3),14,318
Lifetime Campaign - Leadership Principles  - A (Run 3),14,148
Lifetime Campaign - Leadership Principles  - B (Run 3),14,549
Lifetime Campaign - Leadership Principles  - C (Run 3),14,110
Lifetime Campaign - Organizational Strategy  - US (Run 1),14,238
