Device report
All time
Campaign,Age,Clicks
Lifetime Campaign - Organizational Strategy  - US (Run 1),45 - 54,672
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,45 - 54,"7,525"
Lifetime Campaign - Organizational Strategy  - A (Run 1),55 - 64,97
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,45 - 54,79
Course - System Thinking - Run 12 - Search - Lead Gen - US,45 - 54,"8,374"
Lifetime Campaign - Technical Innovation  - US (Run 1),18 - 24,66
Leadership Principles - Targeting Engineers - US,45 - 54,0
Lifetime Campaign - Technical Innovation  - C (Run 1),55 - 64,35
Lifetime Campaign - Leadership Principles  - C (Run 3),55 - 64,151
Course - System Thinking - Run 17 - Search - Prospecting - B,55 - 64,100
Leadership Principles - Targeting Engineers - US,25 - 34,0
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,55 - 64,224
Lifetime Campaign - Leadership Principles  - US (Run 3),55 - 64,384
Lifetime Campaign - Organizational Strategy  - C (Run 1),45 - 54,223
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,18 - 24,66
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,45 - 54,249
Lifetime Campaign - Technical Innovation  - B (Run 1),Unknown,198
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Unknown,592
Lifetime Campaign - Technical Innovation  - A (Run 1),35 - 44,238
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,65+,71
Lifetime Campaign - Leadership Principles  - B (Run 3),18 - 24,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,35 - 44,"10,160"
Leadership Principles - Targeting Engineers - US,65+,0
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,45 - 54,415
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,65+,211
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,25 - 34,"1,103"
