Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
deep learning mit,USA,Exact match,existing searches,0.82999999274866,1.68676580445,1.1848364020986206,1.6867657,1.3367363282945632e-07,0.9106742404791904,0.009455152
deep learning mit,USA,Phrase match,existing searches,0.8299999927486607,1.7451491714499998,1.184836304285388,1.745149,1.5506968975564916e-07,0.9106743156591894,0.009455085
deep learning mit,USA,Broad match,existing searches,0.5999999888154292,2.07386567655,1.046340966848462,2.0738657,2.4465649506311138e-08,0.7454548853318698,0.009455144
deep learning mit,A,Exact match,existing searches,0.5999999888154314,1.7715164045499998,0.998552284638806,1.7715163,8.146040020307056e-08,0.7811308405770666,0.009455085
deep learning mit,A,Phrase match,existing searches,0.5999999888154314,1.7456587985499996,0.9985522464259762,1.7456588,4.324757041374029e-08,0.7811308704695635,0.009455085
deep learning mit,A,Broad match,existing searches,0.5999999888154318,2.357658092150001,1.0463411251395032,2.357658,1.827566906698053e-07,0.745454772559062,0.009455085
deep learning nanodegree,USA,Exact match,existing searches,0.8299999927486603,2.24256405632,1.3022864798734668,2.2425635,5.702207568347717e-07,0.8285427263885106,0.20589261
deep learning nanodegree,USA,Phrase match,existing searches,0.8299999927486601,2.30094742332,1.3022862032463003,2.300947,4.724075246542725e-07,0.8285429023847132,0.20589262
deep learning nanodegree,USA,Broad match,existing searches,0.8299999927486525,2.56709397542,1.3500752519321455,2.5670936,3.646564499248939e-07,0.7992147023131113,0.20589256
deep learning nanodegree,A,Exact match,existing searches,0.5999999888154315,2.38155112072,1.1160022954560227,2.3815508,3.318406052166268e-07,0.6989232805666732,0.20589256
deep learning nanodegree,A,Phrase match,existing searches,0.5999999888154315,2.3556935147200004,1.1160022572431938,2.355693,4.128370658662561e-07,0.6989233044983773,0.20589256
deep learning nanodegree,A,Broad match,existing searches,0.5999999888154315,2.7188386113200003,1.1637912184748465,2.7188382,3.964457326866011e-07,0.6702232952764968,0.20589256
deep learning online course,USA,Broad match,existing,0.5599999790984277,1.1429181810500002,0.323524188625989,1.1429183,-1.6726237772601849e-07,2.250218062271573,0.20589256
deep learning with fpgas,USA,Broad match,existing searches,0.9500000248890008,1.60408959473,0.6499034532390637,1.6040894,2.154193921022341e-07,1.9002823053186837,0.4190185
deepfake,USA,Exact match,existing searches,0.9500000248889988,0.9118874154600006,0.7673534832509857,0.91188705,3.657850128346851e-07,1.609427805192819,0.82534873
deepfake,USA,Phrase match,existing searches,0.9500000248890004,1.02442997386,0.7673535614206537,1.0244298,1.757337793062419e-07,1.609427641241752,0.82534957
deepfake,USA,Broad match,existing searches,0.9500000248889992,1.1348988008600007,0.767353643189026,1.1348985,2.575021516015852e-07,1.6094274697428852,0.8253491
deeplearning ai andrew ng,USA,Exact match,existing searches,0.9500000248890008,1.0679538075100004,0.7673536066185056,1.0679536,2.2093163121184042e-07,1.609427546444945,0.19831961
deeplearning ai andrew ng,USA,Phrase match,existing searches,0.9500000248890008,1.12633717451,0.7673534492006282,1.1263369,2.423276881380332e-07,1.609427876609185,0.19831961
deeplearning ai andrew ng,USA,Broad match,existing searches,0.9500000248889942,1.39248372661,0.7673533712518763,1.3924836,1.345766138527438e-07,1.6094280400969472,0.19831961
download python for data science and machine learning bootcamp course,USA,Broad match,new,0.5599999790984267,0.9785001561700007,0.2748033092080257,0.97850025,-9.083164709267066e-08,2.649167416964618,0.1312846
download udemy introduction to machine learning for data science course,USA,Broad match,new,0.5599999790984267,0.6911715929700009,0.2748033170891872,0.6911717,-1.127528079791773e-07,2.6491673409884022,0.1312846
edx course,USA,Broad match,existing searches,0.5599999790984267,0.8649443278000005,0.2748032698318609,0.8649445,-1.898124567523141e-07,2.6491677965600027,-0.027158976
edx data science,USA,Broad match,existing searches,0.9500000248890008,1.4695193114500005,0.7829327526311833,1.4695193,5.3904529284665166e-08,1.5774024374446798,0.32014906
edx data science harvard,USA,Exact match,existing searches,0.8299999927486614,2.16418984902,1.3022863007793384,2.1641893,5.103359179692291e-07,0.8285428403320718,0.13128452
edx data science harvard,USA,Phrase match,existing searches,0.8299999927486611,2.22257321602,1.3022864413846849,2.2225728,4.125226853446408e-07,0.8285427508759048,0.1312845
edx data science harvard,USA,Broad match,existing searches,0.8299999927486615,2.48871976812,1.3500751920473069,2.4887195,3.0477161105935124e-07,0.7992147377636221,0.1312846
