Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Avg. CPC,competition_x_is_exact,competition_x_is_phrase,competition_x_is_broad,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,Conv. value,Clicks,EPC
Phrase match,B,Thursday,0,12,0,53,390.0,263.3333333333333,226.0,23.076923076923077,39.00000000000002,64.0,3.28,9.96,0.24,0.0,64.0,0.0,-0.8353515,-0.16264278,0.30412558,0.23974691,-0.08978405,-0.045111,-0.31561497,-0.10023321,0.023535898,-0.07385607,0.0,1,0.0
Exact match,A,Sunday,1,6,0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,0.0,0.0,0.0,-0.8175422,0.050402407,0.17429712,-0.41868722,0.25495476,0.06712134,-0.08668139,-0.10401919,0.18709326,0.023686627,0.0,1,0.0
Exact match,USA,Monday,0,11,0,98,880.0,10666.666666666666,9650.0,-75.67567567567568,1419.999999999998,80.0,4.81,13.33,2.72,80.0,0.0,0.0,-0.9022731,0.40434077,-0.027070574,-0.027104585,-0.04468361,0.10392434,-0.042078514,0.009840618,0.0690102,0.03895656,0.0,1,0.0
Phrase match,A,Thursday,0,3,0,193,40.0,50.0,40.0,-42.857142857142854,5.714285714285716,87.0,3.22,10.38,3.02,0.0,87.0,0.0,-0.8903785,-0.04550422,0.13202338,0.32216498,0.12422718,-0.0062851524,-0.16079961,-0.07734003,0.05587347,0.18303889,0.0,1,0.0
Phrase match,A,Sunday,1,3,0,211,1600.0,1700.0,1256.6666666666667,0.0,226.8571428571428,88.0,4.0,12.65,9.15,0.0,88.0,0.0,-0.9284576,-0.12338971,-0.21699543,0.21056151,-0.056184717,0.106688954,0.0394658,-0.067668945,-0.004854815,0.10304732,0.0,1,0.0
Exact match,USA,Saturday,1,1,0,37,50.0,66.66666666666667,58.333333333333336,-55.55555555555556,2.5714285714285765,67.0,5.0,13.97,3.84,67.0,0.0,0.0,-0.8535487,0.39322186,-0.2152002,-0.008989994,0.124145895,-0.1358814,0.14381914,-0.10016546,-0.019195976,-0.07401129,0.0,1,0.0
Exact match,USA,Sunday,1,3,0,197,8100.0,8200.0,7450.0,-18.181818181818183,317.142857142857,85.0,4.18,13.54,23.56,85.0,0.0,0.0,-0.77187246,-0.4979816,-0.0072373496,-0.21164195,0.24711579,0.040689487,-0.17922606,0.08048019,0.09761124,0.02310076,0.0,1,0.0
Exact match,B,Wednesday,0,10,0,131,8100.0,9900.0,9900.0,0.0,0.0,78.0,3.74,13.2,0.79,78.0,0.0,0.0,-0.89922076,-0.23309001,-0.276791,0.103950225,-0.11251609,-0.072584055,-0.121404864,0.1269498,-0.0026515354,-0.029348094,0.0,1,0.0
Phrase match,B,Sunday,1,1,0,15,8100.0,12266.666666666666,24150.0,-33.108108108108105,-6237.142857142855,78.0,3.74,13.2,0.46,0.0,78.0,0.0,-0.89922076,-0.23309001,-0.276791,0.103950225,-0.11251609,-0.072584055,-0.121404864,0.1269498,-0.0026515354,-0.029348094,0.0,3,0.0
Exact match,USA,Wednesday,0,11,0,96,10.0,10.0,10.0,0.0,-2.3737566748886996e-15,90.0,3.6,6.53,5.4,90.0,0.0,0.0,-0.8688908,0.44558,-0.0020137937,-0.052572474,-0.08118785,-0.021364272,-0.06743565,0.07082298,0.15962946,0.040327173,0.0,2,0.0
Broad match,USA,Saturday,1,10,0,128,480.0,676.6666666666666,596.6666666666666,-18.055555555555554,33.71428571428567,56.0,3.13,9.16,3.26,0.0,0.0,56.0,-0.89803255,-0.13573188,0.061539162,0.06657218,-0.06715081,-0.25520322,0.006749168,-0.0067575066,0.26348567,0.16655837,0.0,5,0.0
Broad match,C,Tuesday,0,1,0,13,20.0,10.0,10.0,0.0,0.0,35.0,3.81,14.11,0.32,0.0,0.0,35.0,-0.90268445,0.3918075,0.04967085,-0.0076598655,-0.025231732,0.05226331,-0.09014706,0.13100111,0.017233595,-0.012998304,0.0,70,0.0
Exact match,USA,Monday,0,7,0,84,880.0,1106.6666666666667,1013.3333333333334,60.0,91.42857142857136,84.0,2.8,8.32,12.63,84.0,0.0,0.0,-0.9142036,-0.19395994,-0.12651962,0.0009201052,-0.28519648,-0.068121724,0.09499706,0.09174237,0.060365137,0.05950286,0.0,1,0.0
Phrase match,A,Tuesday,0,11,0,76,9900.0,6200.0,6300.0,0.0,119.99999999999824,71.0,3.57,11.25,0.91,0.0,71.0,0.0,-0.91757745,-0.18289874,-0.046809375,0.1662612,0.11286512,-0.12799539,-0.16662343,0.0042069624,0.15047182,0.12337624,0.0,2,0.0
Exact match,USA,Monday,0,4,0,175,40.0,50.0,60.0,0.0,-6.2857142857142865,77.0,3.18,7.74,5.9,77.0,0.0,0.0,-0.8888701,0.3962387,-0.018568953,-0.043382164,-0.08931684,-0.04570466,-0.05931695,0.11126278,0.15375637,0.032749835,0.0,1,0.0
Broad match,USA,Wednesday,0,10,0,110,20.0,36.666666666666664,30.0,-40.0,4.0,35.0,3.81,14.11,0.95,0.0,0.0,35.0,-0.90268445,0.3918075,0.04967085,-0.0076598655,-0.025231732,0.05226331,-0.09014706,0.13100111,0.017233595,-0.012998304,0.0,2,0.0
Exact match,A,Saturday,1,1,0,30,8100.0,9300.0,9600.0,-18.181818181818183,-257.14285714285745,78.0,3.74,13.2,3.58,78.0,0.0,0.0,-0.91340566,-0.06599839,0.06571702,0.19581705,-0.07408155,0.018682301,0.038959615,0.012009275,0.024503829,0.33252332,0.0,1,0.0
Exact match,USA,Saturday,1,1,0,23,110.0,253.33333333333334,191.66666666666666,-71.7948717948718,26.571428571428577,86.0,4.88,20.92,8.8,86.0,0.0,0.0,-0.8766873,0.3356876,0.074343055,-0.20200188,-0.2608235,0.0025626617,0.03181466,0.052949816,-0.02063194,0.0111612575,0.0,5,0.0
Phrase match,B,Wednesday,0,1,0,12,10.0,20.0,16.666666666666668,0.0,2.285714285714285,88.0,4.34,11.78,0.4,0.0,88.0,0.0,-0.90898854,-0.12718704,-0.22703624,0.22028287,-0.04122848,0.14654316,0.042950604,0.112733215,-0.13189043,0.04868282,0.0,3,0.0
Broad match,USA,Wednesday,0,2,0,5,10.0,10.0,8.333333333333334,0.0,1.4285714285714284,33.0,0.0,0.0,4.67,0.0,0.0,33.0,-0.92217237,0.34501824,-0.08460283,-0.05831535,-0.013991112,0.11299075,-0.02751387,0.025269616,0.062209886,-0.042118,0.0,7,0.0
Broad match,USA,Monday,0,12,0,70,10.0,10.0,8.0,0.0,1.0000000000000007,33.0,0.0,0.0,7.55,0.0,0.0,33.0,-0.92217237,0.34501824,-0.08460283,-0.05831535,-0.013991112,0.11299075,-0.02751387,0.025269616,0.062209886,-0.042118,0.0,7,0.0
