Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9
ai for product managers,-0.7399608,-0.06303479,0.52730674,0.37539992,0.09027633,-0.0062376494,0.12597775,0.005724602,0.05395887,-0.05003704
ai course for business leaders,-0.8527348,-0.17925468,0.06155105,0.30178696,-0.110124975,0.18313949,0.25762773,0.064903736,0.07491954,-0.15486188
best online courses for learning generative ai,-0.8081215,0.4112333,-0.2852688,-0.084765695,0.15165976,-0.00028869827,0.122992404,-0.01860844,-0.17557195,-0.14129244
mba in ai,-0.85860723,-0.3064646,0.12501335,0.09648301,-0.19171324,0.13195863,0.27569953,0.034402784,-0.05364356,-0.098475315
controllable video generation,-0.45574898,0.53717875,0.2511011,-0.106622025,0.1533048,0.050214842,-0.26844332,-0.43827978,-0.093758255,0.36103526
generative ai course for business leaders,-0.83838624,0.2500278,0.16470495,0.11945936,-0.05711889,0.21307482,0.211583,0.10086389,0.13368574,-0.26780602
ai innovation course,-0.9092425,-0.22173816,-0.058509946,0.22215666,-0.08899581,0.13284813,0.08902713,-0.08940331,-0.15198097,-0.08214252
learning chatgpt,-0.654466,0.35682112,-0.32055682,0.2839941,-0.03742162,-0.20494115,-0.25605592,-0.29377985,0.23132885,-0.110264026
mit xpro designing and building ai products and services,-0.7367487,-0.2173663,0.4853077,0.06972384,-0.07197366,-0.12840453,0.0129637,-0.22708222,-0.3092642,-0.022839824
mit ai certificate,-0.69448775,-0.40947643,0.11777996,-0.5325896,-0.157003,-0.041977003,0.16000663,-0.0043378505,-0.006221352,0.020500919
mit ai program,-0.8745539,-0.17487875,0.19872175,-0.0021317613,-0.22914653,-0.27113953,0.011746435,-0.022611126,0.029728604,0.19370116
ai certificate programs,-0.7963368,-0.44453418,0.043374814,-0.25883612,0.24113286,0.07960428,0.023953455,-0.12451668,0.11344792,0.07700051
generative ai certification,-0.8284341,0.10302203,0.16777867,-0.38915342,0.27047935,0.19921744,-0.07221881,-0.03808458,0.06066025,0.017349562
gen ai courses,-0.9638391,0.015290675,-0.09923607,0.06677567,0.0069709867,0.1566829,-0.095944524,-0.06904535,-0.12483493,0.048156787
stanford ai certificate,-0.75871205,-0.40535825,-0.02448513,-0.42460057,0.018901901,-0.106403805,0.0638112,0.006604035,0.2402898,0.074978456
harvard ai certificate,-0.7146294,-0.45769134,0.046314415,-0.46070728,-0.050486207,-0.036088243,0.17153381,0.06565962,0.16595992,-0.01726719
mit ai courses,-0.892277,-0.16657296,-0.12845108,-0.06448014,-0.33965012,-0.0032095737,0.1271333,0.04292366,-0.13797604,0.054978352
best ai courses,-0.9021714,-0.13531978,-0.24568778,0.13876624,-0.027187057,0.17244366,0.04197599,0.06856882,-0.18533617,0.12987567
learn prompt engineering,-0.59123814,0.00013018493,-0.11539691,0.10774664,-0.23324749,0.16835502,-0.37715843,-0.55640596,0.16104145,-0.2549378
mit applied generative ai,-0.74744034,0.4082787,0.3597291,-0.30734378,-0.15040739,-0.107237875,0.019355057,0.080254965,-0.0885351,0.044719927
ai diploma,-0.9360575,-0.28900886,0.012257553,-0.03460842,-0.03703551,0.05852468,0.15109919,-0.098983996,0.03121973,0.022849655
online ai training courses,-0.80293053,-0.09146672,-0.3853378,0.13567942,0.18461253,-0.09264254,0.25964075,-0.2189635,-0.14756803,0.015594723
mit generative ai,-0.7324087,0.41261512,0.36389205,-0.30935177,-0.1862511,-0.1091585,0.04344067,0.093077645,-0.055192094,0.07077203
generative ai crash course,-0.8688701,0.45064014,0.07303404,-0.021982053,0.033966124,0.07195291,-0.08930398,-0.0012082836,0.023423852,0.14599597
best prompting courses,-0.6362342,-0.012249894,-0.49620843,0.124629274,-0.28346524,0.3594489,-0.004937453,-0.32047537,0.13654888,-0.048684727
ai for business leaders,-0.66636854,-0.12193018,0.50634515,0.36400044,0.014283988,0.062011573,0.29183778,0.14711025,0.13556926,-0.15154202
mit,-0.49505177,-0.18401952,0.047640845,-0.4032601,-0.6825471,-0.27412596,0.10059819,-0.040871087,-0.05801608,0.00058594166
applied gen ai for digital transformation mit,-0.71112114,-0.005127439,0.47298655,-0.19053966,0.056480747,-0.12073176,-0.14805813,-0.12949033,-0.36522633,-0.2107448
mitx,-0.36293444,-0.06516549,0.29407912,-0.43461242,-0.6655464,-0.28475448,0.021092642,-0.107150026,-0.12576249,0.19204743
google's introduction to generative ai,-0.7822442,0.5093535,0.24218735,-0.05517231,0.1064206,-0.082061,-0.07879232,0.1723811,-0.06985812,-0.0899521
stanford agentic ai course,-0.9184349,-0.010444866,-0.011791658,0.15241581,-0.16858043,-0.13117926,0.07150321,0.11923465,0.1815036,0.18734486
designing ai products and services,-0.7153118,-0.17499116,0.5051204,0.29178116,0.19576791,-0.025540017,0.039027955,-0.10963565,-0.21878478,0.13052528
ai for executives,-0.6909565,-0.16005579,0.5085437,0.37572703,0.022021621,0.055297777,0.20860283,0.0873962,0.18254656,-0.09567844
genai for digital transformation,-0.5537633,0.1530393,0.47415254,-0.10039496,0.33240852,0.047436055,-0.2840119,-0.1996488,-0.38794944,-0.22639063
generative ai for business,-0.69211507,0.29825425,0.5746429,0.074696824,0.0729809,0.089081466,0.17320889,0.057303537,0.08637163,-0.20547554
