Location report
All time
Location,Campaign,Ad group,Clicks,Conversions
Japan,Lifetime Campaign - Leadership Principles  - B (Run 3), --,7,0.00
Netherlands,Lifetime Campaign - Leadership Principles  - B (Run 3), --,19,0.00
El Salvador,Lifetime Campaign - Leadership Principles  - B (Run 3), --,3,0.00
Vatican City,Lifetime Campaign - Leadership Principles  - B (Run 3), --,1,0.00
Ukraine,Lifetime Campaign - Leadership Principles  - B (Run 3), --,51,0.00
New Zealand,Lifetime Campaign - Leadership Principles  - B (Run 3), --,9,0.00
North Macedonia,Lifetime Campaign - Leadership Principles  - B (Run 3), --,22,0.00
Singapore,Lifetime Campaign - Leadership Principles  - B (Run 3), --,60,0.00
United States,Course - System Thinking - Run 14 - YouTube - Webinar - US + CA #2, --,0,0.00
India,Lifetime Campaign - Leadership Principles  - B (Run 3), --,"2,268",31.00
Comoros,Lifetime Campaign - Leadership Principles  - B (Run 3), --,1,0.00
Maldives,Lifetime Campaign - Leadership Principles  - B (Run 3), --,48,0.00
Botswana,Lifetime Campaign - Leadership Principles  - B (Run 3), --,73,2.00
Tonga,Lifetime Campaign - Leadership Principles  - B (Run 3), --,1,0.00
United States,Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase, --,"1,482",30.80
United States,Course - System Thinking - Run 11 - Discovery - Webinar - US, --,"2,418",168.00
United States,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - USA,ST - Webinar,883,153.01
South Africa,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"6,640",336.12
China,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,384,0.00
Peru,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"2,480",52.12
Singapore,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,136,3.00
Brazil,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"3,357",75.00
Poland,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,529,8.00
Ukraine,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"2,038",38.00
Qatar,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,415,18.00
Saudi Arabia,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"1,194",31.00
Chile,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,372,10.02
Malaysia,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"1,474",50.00
Philippines,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"9,732",152.80
Mexico,Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing, --,"1,654",53.01
Barbados,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,21,2.00
Egypt,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,521,9.00
Singapore,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,41,0.40
China,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,20,0.00
Mozambique,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,36,1.00
Trinidad and Tobago,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,54,1.00
Chile,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,23,0.00
Peru,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,75,1.00
Armenia,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,27,1.00
South Africa,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,327,3.00
Nigeria,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,"1,840",28.00
Turkiye,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,208,2.00
Croatia,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,16,1.00
Poland,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,15,0.00
Philippines,Lifetime Campaign - Organizational Strategy  - B (Run 1), --,521,6.00
