Campaign,Hour of the day,Clicks
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,21,74
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,22,63
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,23,74
Program - MLx - Run 9 - Search - Lead Gen - US,0,194
Program - MLx - Run 9 - Search - Lead Gen - US,1,151
Program - MLx - Run 9 - Search - Lead Gen - US,2,131
Program - MLx - Run 9 - Search - Lead Gen - US,3,89
Program - MLx - Run 9 - Search - Lead Gen - US,4,70
Program - MLx - Run 9 - Search - Lead Gen - US,5,87
Program - MLx - Run 9 - Search - Lead Gen - US,6,91
Program - MLx - Run 9 - Search - Lead Gen - US,7,124
Program - MLx - Run 9 - Search - Lead Gen - US,8,223
Program - MLx - Run 9 - Search - Lead Gen - US,9,318
Program - MLx - Run 9 - Search - Lead Gen - US,10,376
Program - MLx - Run 9 - Search - Lead Gen - US,11,298
Program - MLx - Run 9 - Search - Lead Gen - US,12,311
Program - MLx - Run 9 - Search - Lead Gen - US,13,270
Program - MLx - Run 9 - Search - Lead Gen - US,14,264
Program - MLx - Run 9 - Search - Lead Gen - US,15,258
Program - MLx - Run 9 - Search - Lead Gen - US,16,193
Program - MLx - Run 9 - Search - Lead Gen - US,17,185
Program - MLx - Run 9 - Search - Lead Gen - US,18,161
Program - MLx - Run 9 - Search - Lead Gen - US,19,150
Program - MLx - Run 9 - Search - Lead Gen - US,20,142
Program - MLx - Run 9 - Search - Lead Gen - US,21,123
Program - MLx - Run 9 - Search - Lead Gen - US,22,106
Program - MLx - Run 9 - Search - Lead Gen - US,23,72
